0:0:0:0:0:0:0:1 - - [27/May/2021:09:28:16 +0900] "GET /user/getCheckingInfo?selectSubject=&s_id=111&SubjectName= HTTP/1.1" 200 6029
0:0:0:0:0:0:0:1 - - [27/May/2021:09:28:18 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:28:18 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:28:49 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:28:49 +0900] "GET /resources/common/css/common.css HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [27/May/2021:09:28:49 +0900] "GET /resources/images/Idino.png HTTP/1.1" 200 3567
127.0.0.1 - - [27/May/2021:09:29:16 +0900] "GET / HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [27/May/2021:09:29:17 +0900] "GET /user/choice HTTP/1.1" 500 3874
0:0:0:0:0:0:0:1 - - [27/May/2021:09:29:18 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [27/May/2021:09:29:18 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:29:18 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:29:19 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:29:19 +0900] "GET /resources/common/css/common.css HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [27/May/2021:09:29:19 +0900] "GET /resources/images/Idino.png HTTP/1.1" 200 3567
0:0:0:0:0:0:0:1 - - [27/May/2021:09:29:20 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:29:23 +0900] "POST /user/loginPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:29:23 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:29:23 +0900] "GET /user/choice HTTP/1.1" 200 3322
0:0:0:0:0:0:0:1 - - [27/May/2021:09:29:41 +0900] "GET /user/getCheckingInfo?selectSubject=&s_id=111&SubjectName= HTTP/1.1" 200 6029
0:0:0:0:0:0:0:1 - - [27/May/2021:09:29:53 +0900] "GET /user/getCheckingInfo?selectSubject=&s_id=111&SubjectName= HTTP/1.1" 200 6029
127.0.0.1 - - [27/May/2021:09:33:07 +0900] "GET / HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [27/May/2021:09:33:09 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:33:09 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:33:13 +0900] "POST /user/loginPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:33:13 +0900] "GET /user/choice HTTP/1.1" 200 3389
0:0:0:0:0:0:0:1 - - [27/May/2021:09:33:13 +0900] "GET /user/choice HTTP/1.1" 200 3389
0:0:0:0:0:0:0:1 - - [27/May/2021:09:33:24 +0900] "GET /user/getCheckingInfo?selectSubject=&s_id=111&s_id=%ED%95%99%EC%83%9D&SubjectName= HTTP/1.1" 500 11810
0:0:0:0:0:0:0:1 - - [27/May/2021:09:33:24 +0900] "GET /favicon.ico HTTP/1.1" 404 721
127.0.0.1 - - [27/May/2021:09:34:14 +0900] "GET / HTTP/1.1" 200 2610
0:0:0:0:0:0:0:1 - - [27/May/2021:09:34:18 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:34:18 +0900] "GET / HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/May/2021:09:34:25 +0900] "POST /user/loginPost HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/May/2021:09:34:25 +0900] "GET /user/choice HTTP/1.1" 200 3389
0:0:0:0:0:0:0:1 - - [27/May/2021:09:34:25 +0900] "GET /user/choice HTTP/1.1" 200 3389
127.0.0.1 - - [27/May/2021:09:35:56 +0900] "GET / HTTP/1.1" 200 2610
